symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2019-03-05 00:00:00+00:00,104.11,104.55,103.26,104.13,10856646,89.6085175518,89.9872299495,88.8769140562,89.6257317517,10856646,0.0,1.0
JPM,2019-03-06 00:00:00+00:00,103.72,104.57,103.55,103.86,9070782,89.2728406538,90.0044441493,89.1265199547,89.3933400531,9070782,0.0,1.0
JPM,2019-03-07 00:00:00+00:00,102.97,103.47,102.16,103.25,12705739,88.6273081578,89.0576631551,87.930133062,88.8683069563,12705739,0.0,1.0
JPM,2019-03-08 00:00:00+00:00,103.01,103.23,101.99,101.99,10582371,88.6617365576,88.8510927564,87.7838123629,87.7838123629,10582371,0.0,1.0
JPM,2019-03-11 00:00:00+00:00,104.35,104.55,103.66,103.98,9763235,89.8150879505,89.9872299495,89.2211980541,89.4966252525,9763235,0.0,1.0
JPM,2019-03-12 00:00:00+00:00,104.04,104.79,103.75,104.59,10219100,89.5482678521,90.1938003482,89.2986619537,90.0216583492,10219100,0.0,1.0
JPM,2019-03-13 00:00:00+00:00,104.39,104.98,103.95,104.19,13022241,89.8495163503,90.3573352472,89.4708039526,89.6773743513,13022241,0.0,1.0
JPM,2019-03-14 00:00:00+00:00,105.34,105.87,104.46,104.5,10926470,90.6671908453,91.1233671425,89.9097660499,89.9441944497,10926470,0.0,1.0
JPM,2019-03-15 00:00:00+00:00,106.55,106.8,105.23,105.41,24811730,91.7086499389,91.9238274376,90.5725127459,90.7274405449,24811730,0.0,1.0
JPM,2019-03-18 00:00:00+00:00,107.19,107.79,106.5,106.55,12935514,92.2595043355,92.7759303324,91.6656144392,91.7086499389,12935514,0.0,1.0
JPM,2019-03-19 00:00:00+00:00,106.8,108.4,106.55,108.2,12889267,91.9238274376,93.3009634292,91.7086499389,93.1288214302,12889267,0.0,1.0
JPM,2019-03-20 00:00:00+00:00,104.52,106.65,104.41,106.43,14920658,89.9614086496,91.7947209384,89.8667305502,91.6053647396,14920658,0.0,1.0
JPM,2019-03-21 00:00:00+00:00,102.87,103.49,102.28,103.49,19751044,88.5412371583,89.074877355,88.0334182614,89.074877355,19751044,0.0,1.0
JPM,2019-03-22 00:00:00+00:00,99.76,102.32,99.52,101.82,31115189,85.8644290747,88.0678466612,85.6578586759,87.6374916638,31115189,0.0,1.0
JPM,2019-03-25 00:00:00+00:00,98.93,100.57,98.09,99.59,21032295,85.150039779,86.5616041704,84.4270433835,85.7181083756,21032295,0.0,1.0
JPM,2019-03-26 00:00:00+00:00,99.92,100.4,98.82,99.82,15987129,86.0021426738,86.4152834713,85.0553616796,85.9160716744,15987129,0.0,1.0
JPM,2019-03-27 00:00:00+00:00,99.58,100.45,99.08,99.88,12753234,85.7095012756,86.458318971,85.2791462783,85.967714274,12753234,0.0,1.0
JPM,2019-03-28 00:00:00+00:00,100.71,100.8,99.74,100.0,12454070,86.6821035697,86.7595674692,85.8472148748,86.0709994734,12454070,0.0,1.0
JPM,2019-03-29 00:00:00+00:00,101.23,101.99,100.59,101.54,14523395,87.1296727669,87.7838123629,86.5788183703,87.3964928653,14523395,0.0,1.0
JPM,2019-04-01 00:00:00+00:00,104.64,104.68,102.12,102.15,17499280,90.064693849,90.0991222488,87.8957046622,87.9215259621,17499280,0.0,1.0
JPM,2019-04-02 00:00:00+00:00,105.14,105.44,104.33,104.6,10295539,90.4950488463,90.7532618448,89.7978737506,90.0302654492,10295539,0.0,1.0
JPM,2019-04-03 00:00:00+00:00,105.35,106.36,104.79,105.81,11499209,90.6757979452,91.5451150399,90.1938003482,91.0717245428,11499209,0.0,1.0
JPM,2019-04-04 00:00:00+00:00,105.56,105.73,104.45,104.55,11952078,91.5451150399,91.6925446492,90.5824864145,90.6692097141,11952078,0.8,1.0
JPM,2019-04-05 00:00:00+00:00,105.31,106.11,104.99,105.8,9933660,91.328306791,92.0220931876,91.0507922323,91.7532509589,9933660,0.0,1.0
JPM,2019-04-08 00:00:00+00:00,105.65,105.65,104.91,105.11,8056282,91.6231660095,91.6231660095,90.9814135926,91.1548601918,8056282,0.0,1.0
JPM,2019-04-09 00:00:00+00:00,104.87,105.2,104.25,105.08,9092188,90.9467242728,91.2329111614,90.4090398154,91.1288432019,9092188,0.0,1.0
JPM,2019-04-10 00:00:00+00:00,105.34,105.72,104.47,105.13,10882304,91.3543237808,91.6838723193,90.5998310745,91.1722048517,10882304,0.0,1.0
JPM,2019-04-11 00:00:00+00:00,106.23,106.73,105.56,105.71,11183845,92.1261611471,92.559777645,91.5451150399,91.6751999893,11183845,0.0,1.0
JPM,2019-04-12 00:00:00+00:00,111.21,111.85,108.88,109.44,25834073,96.4449814664,97.0000105837,94.4243285861,94.9099790637,25834073,0.0,1.0
JPM,2019-04-15 00:00:00+00:00,109.94,111.0,109.12,110.92,15163815,95.3435955617,96.2628625372,94.6324645051,96.1934838976,15163815,0.0,1.0
JPM,2019-04-16 00:00:00+00:00,111.1,111.39,109.86,109.9,11583232,96.3495858368,96.6010834056,95.274216922,95.3089062418,11583232,0.0,1.0
JPM,2019-04-17 00:00:00+00:00,114.3,114.66,111.01,111.7,17791890,99.1247314235,99.436935302,96.2715348672,96.8699256343,17791890,0.0,1.0
JPM,2019-04-18 00:00:00+00:00,113.46,114.95,113.33,114.53,12501949,98.396255707,99.6884328708,98.2835154175,99.3241950125,12501949,0.0,1.0
JPM,2019-04-22 00:00:00+00:00,113.6,113.93,112.66,112.83,7975860,98.5176683264,98.803855215,97.7024693103,97.8498989196,7975860,0.0,1.0
